Dependent,Name,Frequency,URL,API
Y,"Gross Domestic Product, Year On Year Growth Rate | GDP In Chained (2015) Dollars",Q,https://tablebuilder.singstat.gov.sg/table/TS/M015631,https://tablebuilder.singstat.gov.sg/rowdata/7d76009c-0b11-481f-0f75-08db5cb31365_M015631_2.json
,Composite Leading Index (2015 = 100) | Quarterly Composite Leading Index,Q,https://tablebuilder.singstat.gov.sg/table/TS/M240421,https://tablebuilder.singstat.gov.sg/rowdata/1321bf37-ec39-4f66-0f7d-08db5cb31365_M240421_1.json
,Business Expectations Of The Manufacturing Sector | General Business Expectations (Forecast For Next 6 Months),Q,https://tablebuilder.singstat.gov.sg/table/TS/M250141,https://tablebuilder.singstat.gov.sg/rowdata/be8006ac-347c-4ee9-d8e4-08db47a56dc1_M250141_1.json
,"Business Expectations For The Services Sector - Operating Receipts Forecast For The Next Quarter, Weighted Percentages Of Up, Same, Down | Net Weighted Balance - Total Services Sector",Q,https://tablebuilder.singstat.gov.sg/table/TS/M250491,https://tablebuilder.singstat.gov.sg/rowdata/5f2945b8-2008-4983-d8ec-08db47a56dc1_M250491_1.json
,"Business Expectations For The Services Sector - General Business Outlook For The Next 6 Months, Weighted Percentages Of Up, Same, Down | Net Weighted Balance - Total Services Sector",Q,https://tablebuilder.singstat.gov.sg/table/TS/M250481,https://tablebuilder.singstat.gov.sg/rowdata/42ecfb71-5fd8-4f43-d8ea-08db47a56dc1_M250481_1.json
,"Domestic Wholesale Trade Index, (2017 = 100), In Chained Volume Terms | Total",Q,https://tablebuilder.singstat.gov.sg/table/TS/M601951,https://tablebuilder.singstat.gov.sg/rowdata/1ca01e1f-0f27-474c-f244-08db5814f7fb_M601951_1.json
,"Foreign Wholesale Trade Index, (2017 = 100), In Chained Volume Terms | Total",Q,https://tablebuilder.singstat.gov.sg/table/TS/M601961,https://tablebuilder.singstat.gov.sg/rowdata/56cf52b6-3528-48cd-f245-08db5814f7fb_M601961_1.json
,"Business Receipts Index For Services Industries, (2014=100) | Total Services",Q,https://tablebuilder.singstat.gov.sg/table/TS/M602011,https://tablebuilder.singstat.gov.sg/rowdata/500e622d-4cce-49da-8da9-08db5da66f36_M602011_1.json
,"Food & Beverage Services Index, (2017 = 100), In Chained Volume Terms | Total",M,https://tablebuilder.singstat.gov.sg/table/TS/M601881,https://tablebuilder.singstat.gov.sg/rowdata/3254f9f5-e714-4efc-e4aa-08db4d25aca2_M601881_1.json
,"Retail Sales Index, (2017 = 100), In Chained Volume Terms | Total",M,https://tablebuilder.singstat.gov.sg/table/TS/M601871,https://tablebuilder.singstat.gov.sg/rowdata/bccf7517-ac26-4d60-e4ab-08db4d25aca2_M601871_1.json
,Tourism Receipts By Major Components (Year-To-Date) | Tourism Receipts,Q,https://tablebuilder.singstat.gov.sg/table/TS/M550371,https://tablebuilder.singstat.gov.sg/rowdata/724cc45f-cc7c-4734-2507-08db3a65f8c3_M550371_1.json
,Sea Cargo And Shipping Statistics (Total Cargo) | Total Container Throughput (Thousand Twenty-Foot Equivalent Units),M,https://tablebuilder.singstat.gov.sg/table/TS/M651101,https://tablebuilder.singstat.gov.sg/rowdata/c843ce1b-f3e4-4001-f45d-08db55ef5eb5_M651101_4.json
,Air Cargo Tonnage | Total Direct Tonnage (Tonne),M,https://tablebuilder.singstat.gov.sg/table/TS/M651471,https://tablebuilder.singstat.gov.sg/rowdata/ec290081-0fa8-4cd6-50c0-08db5c2d0d29_M650031_5.json
,Domestic Exports By Commodity Division | Total Domestic Exports,M,https://tablebuilder.singstat.gov.sg/table/TS/M451041,https://tablebuilder.singstat.gov.sg/rowdata/9f07e3a5-be3a-4aaa-bfa6-08db566ddf26_M451041_1.json
,Merchandise Imports By Commodity Division | Total Merchandise Imports,M,https://tablebuilder.singstat.gov.sg/table/TS/M451021,https://tablebuilder.singstat.gov.sg/rowdata/18123dd5-1988-49fe-bfb1-08db566ddf26_M451021_1.json
,Straits Times Index (STI),D,https://www.sgx.com/indices/products/sti,https://api.sgx.com/indices/v1.0/charts/historic/pid/.STI/
,M1 Money Supply,M,https://secure.mas.gov.sg/api/APIDESCPAGE.ASPX?RESOURCE_ID=2940f379-100d-4f28-986a-8aee84014929,"https://eservices.mas.gov.sg/api/action/datastore/search.json?resource_id=2940f379-100d-4f28-986a-8aee84014929&fields=m1,end_of_month"
,Index Of Industrial Production (2019 = 100) | Total,M,https://tablebuilder.singstat.gov.sg/table/TS/M355271,https://tablebuilder.singstat.gov.sg/rowdata/398883f0-106b-41a6-8daa-08db5da66f36_M355271_1.json
,Domestic Exports Of Major Non-Oil Products | Total Electronic Products,M,https://tablebuilder.singstat.gov.sg/table/TS/M450981,https://tablebuilder.singstat.gov.sg/rowdata/7fca4ebe-eb19-4f52-bfb0-08db566ddf26_M450981_1.json
,Domestic Exports Of Major Non-Oil Products | Non-Electronic Products,M,https://tablebuilder.singstat.gov.sg/table/TS/M450981,https://tablebuilder.singstat.gov.sg/rowdata/7fca4ebe-eb19-4f52-bfb0-08db566ddf26_M450981_2.json
,Average Monthly Nominal Earnings Per Employee | Overall Economy,Q,https://tablebuilder.singstat.gov.sg/table/TS/M182931,https://tablebuilder.singstat.gov.sg/rowdata/3a56930e-7310-43da-0fa0-08db5cb31365_M182931_1.json
,Job Vacancies By Industry And Occupational Group (SSIC 2020) (End Of Period) | Total,Q,https://tablebuilder.singstat.gov.sg/table/TS/M184071,https://tablebuilder.singstat.gov.sg/rowdata/3856d6ad-4a7b-4f44-a9b5-08db24fc6ea3_M184071_1.json
,Unemployment Rate (End Of Period) | Total Unemployment Rate,Q,https://tablebuilder.singstat.gov.sg/table/TS/M182341,https://tablebuilder.singstat.gov.sg/rowdata/661118cc-4fb0-4c1a-d906-08db47a56dc1_M182341_1.json
,Government Operating Revenue | Total Government Operating Revenue,M,https://tablebuilder.singstat.gov.sg/table/TS/M130501,https://tablebuilder.singstat.gov.sg/rowdata/5c7b5ab5-18b1-471c-da4c-08db617acef8_M130501_1.json
,Government Operating Expenditure By Sector | Total Government Operating Expenditure,Q,https://tablebuilder.singstat.gov.sg/table/TS/M130631,https://tablebuilder.singstat.gov.sg/rowdata/0a2ce6db-cafb-457c-0f8f-08db5cb31365_M130631_1.json
,3-month Compounded SORA,D,https://secure.mas.gov.sg/api/APIDescPage.aspx?resource_id=9a0bf149-308c-4bd2-832d-76c8e6cb47ed,"https://eservices.mas.gov.sg/api/action/datastore/search.json?resource_id=9a0bf149-308c-4bd2-832d-76c8e6cb47ed&fields=comp_sora_3m,end_of_day"