"MSB I.1 Money Supply (SGD)","S$ MILLION"
"END OF PERIOD","M1"
2021 Jul,276525.0
2021 Aug,277449.2
2021 Sep,279007.1
2021 Oct,280696.5
2021 Nov,285287.7
2021 Dec,286176.3
2022 Jan,287058.9
2022 Feb,288626.0
2022 Mar,292648.7
2022 Apr,291430.7
2022 May,288637.0
2022 Jun,283812.9
2022 Jul,278259.4
2022 Aug,274380.7
2022 Sep,268827.6
2022 Oct,261561.5
2022 Nov,260165.8
2022 Dec,255547.3
2023 Jan,250174.8
2023 Feb,247795.7
2023 Mar,252109.9
2023 Apr,252203.4

The notes and footnotes for this table can be found on the online Monthly Statistical Bulletin database.